jsondata,id,name,description,markup_description,pk,valueset_pk,domainelement_pk,frequency,confidence,version
{},hi-263-1-1,ra•xukhe,saddle,,4089,2767,,,,1
{},hi-263-1-2,na•xukhe,vertebral processes,,4090,2767,,,,1
{},hi-263-1-3,daḣaḣa,[spine (1)],,4091,2767,,,,1
{},pdh-263-1-1,*ną́xa hü,[spine (1)],,4092,2768,,,,1
{},cr-263-1-1,alaxaaló,spine; backbone,,4093,2769,,,,1
{},cr-263-1-2,annáakku,saddle,,4094,2769,,,,1
{},cr-263-1-3,ara’xá•ra,his spine,,4095,2769,,,,1
{},os-263-1-1,"nóⁿxa’hi, nóⁿxahi","spine, backbone",,4096,2770,,,,1
{},op-263-1-1,nóⁿxahi,spine; backbone,,4097,2771,,,,1
{},hi-264-1-1,maxua,spill,,4098,2772,,,,1
{},cr-264-1-1,bixúa,spill,,4099,2773,,,,1
{},pch-264-1-1,*waxúa < *waxúhe,[spill],,4100,2774,,,,1
{},psi-264-1-1,*waxų́-he,[spill],,4101,2775,,,,1
{},ch-264-1-1,waxũn,"spill, pour out",,4102,2776,,,,1
{},hi-265-1-1,awako•xi,spider,,4103,2777,,,,1
{},cr-265-1-1,awáko•xa,spider,,4104,2778,,,,1
{},pch-265-1-1,*awáko•xV,[spider],,4105,2779,,,,1
{},psi-265-1-1,*-kox-,[spider],,4106,2780,,,,1
{},bi-265-1-1,koxodé niká,spider,,4107,2781,,,,1
{},qu-266-1-1,"íe, íye","speak, talk; language",,4108,2782,,,,1
{},pmv-266-1-1,*i-(r)ʔe,"[speak, talk]",,4109,2783,,,,1
{},psi-266-1-1,*i-(r)ʔe,"[speak, talk]",,4110,2784,,,,1
{},ma-266-1-1,kirą́ʔroʔš,he told it,,4111,2785,,,,1
{},la-266-1-1,i-yA´,"[speak, talk]",,4112,2786,,,,1
{},ch-266-1-1,itʔá,"[speak, talk]",,4113,2787,,,,1
{},ch-266-1-2,"utʔá, učʔé","[speak, talk]",,4114,2787,,,,1
{},of-266-1-1,ilĕ´,speak,,4115,2788,,,,1
{},bi-266-1-1,kíyĕ,say that to or about him,,4116,2789,,,,1
{},bi-266-2-1,adĕ´,"to talk, speech, language",,4117,2789,,,,1
{},wi-266-1-1,hi-tʔe,"[speak, talk]",,4118,2790,,,,1
{},wi-266-1-2,hit’e,"[speak, talk]",,4119,2790,,,,1
{},da-266-1-1,iá,speak,,4120,2791,,,,1
{},ks-266-1-1,íe,"speak, talk; language",,4121,2792,,,,1
{},pch-266-1-1,*ireʔ,"[speak, talk]",,4122,2793,,,,1
{},hi-266-1-1,iréʔ,"speak, talk",,4123,2794,,,,1
{},pma-266-1-1,*kirąʔ-,"[speak, talk]",,4124,2795,,,,1
{},pdh-266-1-1,*íe,"[speak, talk]",,4125,2796,,,,1
{},cr-266-1-1,ilíi,talk,,4126,2797,,,,1
{},pbo-266-1-1,*i-(r)é,"[speak, talk]",,4127,2798,,,,1
{},op-266-1-1,"íe, íye","speak, talk; language",,4128,2799,,,,1
{},os-266-1-1,íe,"speak, talk; language",,4129,2800,,,,1
{},pda-266-1-1,*iyA,"[speak, talk]",,4130,2801,,,,1
{},pwc-266-1-1,*itʔé,"[speak, talk]",,4131,2802,,,,1
{},pmv-267-1-1,*(o)-káɣ-(pa),[south > downstream],,4132,2803,,,,1
{},qu-267-1-1,káxpa,"south, wind or quarter",,4133,2804,,,,1
{},qu-267-1-2,okáxpa idé,"south, wind or quarter",,4134,2804,,,,1
{},la-267-1-1,íyok̇aġa,south,,4135,2805,,,,1
{},la-267-2-1,iṫók̇aġa,south,,4136,2805,,,,1
{},la-267-3-1,iṫók̇aḣwapa,towards the south,,4137,2805,,,,1
{},da-267-1-1,ókaġa,"the south; southwards, downstream",,4138,2806,,,,1
{},ks-267-1-1,ogáxpa,Quapaw,,4139,2807,,,,1
{},pdh-267-1-1,*o-káxpa,[south > downstream],,4140,2808,,,,1
{},os-267-1-1,okáxpa,Quapaw,,4141,2809,,,,1
{},os-267-2-1,[†káxpa],"the east, where the sun rises",,4142,2809,,,,1
{},pda-267-1-1,*-okaɣ-,[south > downstream],,4143,2810,,,,1
{},qu-268-1-1,ákʔa,west wind,,4144,2811,,,,1
{},psi-268-1-1,*ákʔa,[south],,4145,2812,,,,1
{},ma-268-1-1,ákahąkt,south,,4146,2813,,,,1
{},ks-268-1-1,ákʔa,south wind and deity,,4147,2814,,,,1
{},pma-268-1-1,*áka-,[south],,4148,2815,,,,1
{},pdh-268-1-1,*ákʔa,[south],,4149,2816,,,,1
{},cr-268-1-1,bulúaka,downstream; south,,4150,2817,,,,1
{},os-268-1-1,ákʔa,south wind,,4151,2818,,,,1
{},pmv-269-1-1,*-Seka,[sour (3)],,4152,2819,,,,1
{},qu-269-1-1,waxéka,blackberry,,4153,2820,,,,1
{},bi-269-1-1,pạxká,sour,,4154,2821,,,,1
{},la-269-1-1,-zeca,bitter (words),,4155,2822,,,,1
{},pmv-270-1-1,tʔa-,[sour (2)],,4156,2823,,,,1
{},ch-270-1-1,tʔa,bitter,,4157,2824,,,,1
{},la-270-1-1,tʔáɣA,lukewarm; to have a puckery or bad taste in the mouth,,4158,2825,,,,1
{},wi-270-1-1,tʔéek,be rotten,,4159,2826,,,,1
{},wi-270-1-2,t’eek,[sour (2)],,4160,2826,,,,1
{},da-270-1-1,ṭáġa,"rough: bitter, astringent, as oak bark",,4161,2827,,,,1
{},ks-270-1-1,cʔáye,bitter,,4162,2828,,,,1
{},os-270-1-1,ṭsʔáthe,sour,,4163,2829,,,,1
{},pda-270-1-1,*tʔáɣA,[sour (2)],,4164,2830,,,,1
{},pmv-271-1-1,*sʔa,[sour (1)],,4165,2831,,,,1
{},la-271-1-1,sʔamná,smell (mná) sour,,4166,2832,,,,1
{},ks-271-1-1,cʔáye,"sour, bitter",,4167,2833,,,,1
{},pdh-271-1-1,*sʔáre,[sour (1)],,4168,2834,,,,1
{},os-271-1-1,ṭsʔáthe,sour,,4169,2835,,,,1
{},pda-271-1-1,*sʔa,[sour (1)],,4170,2836,,,,1
{},op-271-1-1,çʔáthe,sour,,4171,2837,,,,1
{},pmv-272-1-1,*htanį́ (?),[soup],,4172,2838,,,,1
{},ch-272-1-1,táñį,[soup],,4173,2839,,,,1
{},ch-272-2-1,čáñį,[soup],,4174,2839,,,,1
{},qu-272-1-1,"ttanyúhǫ, ttanǘhǫde",[soup],,4175,2840,,,,1
{},ks-272-1-1,ttaní,meat + water; soup,,4176,2841,,,,1
{},pdh-272-1-1,*htaní,[soup],,4177,2842,,,,1
{},os-272-1-1,ṭaní,"soup, broth",,4178,2843,,,,1
{},op-272-1-1,ttaní,[soup],,4179,2844,,,,1
{},psi-273-1-1,*wųhé,[song],,4180,2845,,,,1
{},ma-273-1-1,wąhé,song,,4181,2846,,,,1
{},psc-273-1-1,*wų-,[song],,4182,2847,,,,1
{},ca-273-1-1,mǫʔ,sing,,4183,2848,,,,1
{},bi-273-1-1,yoⁿni,song,,4184,2849,,,,1
{},pch-273-1-1,*wu•,[song],,4185,2850,,,,1
{},hi-273-1-1,itú•,his song,,4186,2851,,,,1
{},pma-273-1-1,*wąhe,[song],,4187,2852,,,,1
{},cr-273-1-1,buú,song,,4188,2853,,,,1
{},ch-274-1-1,wandóhan,son-in-law,,4189,2854,,,,1
{},ma-274-1-1,taróhąkas,his son-in-law,,4190,2855,,,,1
{},wi-274-1-1,watohóoči,[son-in-law (2)],,4191,2856,,,,1
{},wi-274-1-2,watohooci,[son-in-law (2)],,4192,2856,,,,1
{},psi-274-1-1,*-Róhą,[son-in-law (2)],,4193,2857,,,,1
{},pma-274-1-1,*rohąka,[son-in-law (2)],,4194,2858,,,,1
{},pwc-274-1-1,*waRó(hą) ~ *wąRó(hą),[son-in-law (2)],,4195,2859,,,,1
{},qu-275-1-1,ittǫ́tte,[son-in-law (1)],,4196,2860,,,,1
{},pmv-275-1-1,*ihtų́te,[son-in-law (1)],,4197,2861,,,,1
{},psi-275-1-1,*i-htų́te,[son-in-law (1)],,4198,2862,,,,1
{},psi-275-2-1,*i-hta-ų́te (?),[son-in-law (1)],,4199,2862,,,,1
{},ma-275-1-1,kotúts,his son-in-law,,4200,2863,,,,1
{},ma-275-1-2,ptúts ~ ptúte,my son-in-law,,4201,2863,,,,1
{},ch-275-1-1,udwą́ǰe,[son-in-law (1)],,4202,2864,,,,1
{},ch-275-1-2,udwą́čhi,[son-in-law (1)],,4203,2864,,,,1
{},bi-275-1-1,tóndiyaⁿ,son-in-law (= daughter's husband),,4204,2865,,,,1
{},ks-275-1-1,ittǫ́ǰe,[son-in-law (1)],,4205,2866,,,,1
{},hi-275-1-1,itúti,son-in-law,,4206,2867,,,,1
{},pma-275-1-1,*tutE,[son-in-law (1)],,4207,2868,,,,1
{},pdh-275-1-1,*ihtǫ́te,[son-in-law (1)],,4208,2869,,,,1
{},cr-275-1-1,bucé,my son-in-law,,4209,2870,,,,1
{},cr-275-1-2,usshí,"his mother-in-law, her son-in-law; relative with whom one does not speak",,4210,2870,,,,1
{},os-275-1-1,ittóⁿdse,[son-in-law (1)],,4211,2871,,,,1
{},op-275-1-1,ittą́de,[son-in-law (1)],,4212,2872,,,,1
{},pmv-276-1-1,*(i-)(ki-) hake,"[son, third or younger]",,4213,2873,,,,1
{},pmv-276-2-1,*(ki-)há•ka,"[son, third or younger]",,4214,2873,,,,1
{},ch-276-1-1,há•ga,3rd son,,4215,2874,,,,1
{},ch-276-1-2,hagáyįŋe,5th boy,,4216,2874,,,,1
{},qu-276-1-1,kháke,third son,,4217,2875,,,,1
{},qu-276-1-2,khážį,"4th, 5th son",,4218,2875,,,,1
{},la-276-1-1,haké,"fifth son, last child",,4219,2876,,,,1
{},bi-276-1-1,áka,youngest,,4220,2877,,,,1
{},bi-276-1-2,ákayaⁿ,her youngest brother,,4221,2877,,,,1
{},wi-276-1-1,"háaga, haagá",third son,,4222,2878,,,,1
{},wi-276-1-2,haaga,"[son, third or younger]",,4223,2878,,,,1
{},ks-276-1-1,khága,third son,,4224,2879,,,,1
{},ks-276-1-2,khagé ppahą́le,1st khage’ ‘3rd son,,4225,2879,,,,1
{},ks-276-1-3,kháhįŋa,5th son,,4226,2879,,,,1
{},psi-276-1-1,*i-há•ka,"[son, third or younger]",,4227,2880,,,,1
{},pwc-276-1-1,*há•ka,"[son, third or younger]",,4228,2881,,,,1
{},pdh-276-1-1,*kháka,"[son, third or younger]",,4229,2882,,,,1
{},pdh-276-2-1,*kháke,"[son, third or younger]",,4230,2882,,,,1
{},ot-276-1-1,ikháge,"brother, of a sort",,4231,2883,,,,1
{},os-276-1-1,khážį,"4th, 5th son",,4232,2884,,,,1
{},os-276-1-2,kháke,third son,,4233,2884,,,,1
{},op-276-1-1,khága,third son birthname,,4234,2885,,,,1
{},op-276-1-2,khagé,"4th son, birthname",,4235,2885,,,,1
{},op-276-1-3,ikháge,friend,,4236,2885,,,,1
{},pmv-277-1-1,*(ki)-hé•,"[son, second born]",,4237,2886,,,,1
{},ch-277-1-1,he•ną́,second son,,4238,2887,,,,1
{},qu-277-1-1,[†įkhé žíka],second son,,4239,2888,,,,1
{},wi-277-1-1,"héeną, heeną́",second son,,4240,2889,,,,1
{},wi-277-1-2,heeną,"[son, second born]",,4241,2889,,,,1
{},da-277-1-1,he- in,second son,,4242,2890,,,,1
{},da-277-1-2,hepáŋ,third son,,4243,2890,,,,1
{},da-277-1-3,he- in,"[son, second born]",,4244,2890,,,,1
{},da-277-1-4,hepí,"[son, second born]",,4245,2890,,,,1
{},ks-277-1-1,khéga,second son,,4246,2891,,,,1
{},ks-277-1-2,ikhé,"birth name, 2nd boy",,4247,2891,,,,1
{},pwc-277-1-1,*hé•ną,"[son, second born]",,4248,2892,,,,1
{},pdh-277-1-1,*(į)-khé,"[son, second born]",,4249,2893,,,,1
{},os-277-1-1,kshóⁿga,second son (a special kinship term used by members of a family only),,4250,2894,,,,1
{},op-277-1-1,įkhé,last son,,4251,2895,,,,1
{},pmv-278-1-1,*į-krų́,"[son, first or eldest]",,4252,2896,,,,1
{},ch-278-1-1,hįgrų́,1st son,,4253,2897,,,,1
{},ch-278-1-2,hį́glų,1st son,,4254,2897,,,,1
{},qu-278-1-1,įkdą́ žíka,first born son,,4255,2898,,,,1
{},wi-278-1-1,kúnuka,"[son, first or eldest]",,4256,2899,,,,1
{},ks-278-1-1,ilóhįŋa,"[son, first or eldest]",,4257,2900,,,,1
{},pwc-278-1-1,*(į)-krų́,"[son, first or eldest]",,4258,2901,,,,1
{},pdh-278-1-1,*ikrǫ́ ~ *įkrǫ́,"[son, first or eldest]",,4259,2902,,,,1
{},os-278-1-1,iⁿgthóⁿ,first son (special kinship),,4260,2903,,,,1
{},op-278-1-1,igðǫ́,birth name of first son,,4261,2904,,,,1
{},op-278-1-2,igðǫ́,grown son,,4262,2904,,,,1
{},pmv-279-1-1,*i-yį́ke,[son],,4263,2905,,,,1
{},psi-279-1-1,*i-yį́ke,[son],,4264,2906,,,,1
{},ma-279-1-1,korį́ks,his son,,4265,2907,,,,1
{},la-279-1-1,čhįkší ~ čhį́kš,son,,4266,2908,,,,1
{},bi-279-1-1,"yiñḳi, yiñḳiyáⁿ",his or her son,,4267,2909,,,,1
{},wi-279-1-1,hįnį́k,[son],,4268,2910,,,,1
{},wi-279-1-2,hįnįk,[son],,4269,2910,,,,1
{},st-279-1-1,čhįški,[son],,4270,2911,,,,1
{},ks-279-1-1,ižį́ge,son,,4271,2912,,,,1
{},as-279-1-1,čįkši,[son],,4272,2913,,,,1
{},ch-279-1-1,iyíŋe,[son],,4273,2914,,,,1
{},pwc-279-1-1,*iyį́ke,[son],,4274,2915,,,,1
{},pdh-279-1-1,*ižį́ke,[son],,4275,2916,,,,1
{},qu-279-1-1,[†ižį́ke],son,,4276,2917,,,,1
{},ot-279-1-1,ižį́ŋe,[son],,4277,2918,,,,1
{},os-279-1-1,izhíⁿge,son,,4278,2919,,,,1
{},pda-279-1-1,*čhįkší,[son],,4279,2920,,,,1
{},op-279-1-1,ižį́ge,son,,4280,2921,,,,1
{},cr-280-1-1,sáapa,what,,4281,2922,,,,1
{},pch-280-1-1,*ta•pa,[something (2)],,4282,2923,,,,1
{},hi-280-1-1,ta•pa- {in} ta•pato•k,what could it be?,,4283,2924,,,,1
{},hi-280-1-2,ta•pa- {in} ta•paʔ,what is it?,,4284,2924,,,,1
{},ca-280-1-1,tα´pə,something,,4285,2925,,,,1
{},ca-280-1-2,tαpα,something,,4286,2925,,,,1
{},pmv-281-1-1,*ta•kú,[something (1)],,4287,2926,,,,1
{},ch-281-1-1,dagú,what; something; what?,,4288,2927,,,,1
{},ch-281-1-2,dagú-,something; whatever (is),,4289,2927,,,,1
{},ch-281-1-3,dagú- {in} dagúre,[something (1)],,4290,2927,,,,1
{},wi-281-1-1,ǰaagú,what? which? beg pardon?,,4291,2928,,,,1
{},wi-281-1-2,jaagu,anything,,4292,2928,,,,1
{},wi-281-1-3,higų ǰaagú,why?,,4293,2928,,,,1
{},wi-281-1-4,hegų jaagu,[something (1)],,4294,2928,,,,1
{},wi-281-1-5,ǰaagú- {in} ǰaagú’ų,[something (1)],,4295,2928,,,,1
{},wi-281-1-6,jaagu- {in} jaagu’ų,[something (1)],,4296,2928,,,,1
{},la-281-1-1,táku,something,,4297,2929,,,,1
{},la-281-1-2,táku,What?,,4298,2929,,,,1
{},la-281-1-3,táku- {in} tákuca,What?,,4299,2929,,,,1
{},la-281-1-4,táku- {in} tákušni,nothing,,4300,2929,,,,1
{},la-281-1-5,táku- {in} tákuwe,"Why, What for?",,4301,2929,,,,1
{},pmv-282-1-1,*to-,"[some, a little]",,4302,2930,,,,1
{},ch-282-1-1,dokhíla,"few, less, a little",,4303,2931,,,,1
{},ma-282-1-1,túʔš,"there are some, he has some",,4304,2932,,,,1
{},of-282-1-1,tu,pluralizer,,4305,2933,,,,1
{},ca-282-1-1,tųʔ,little in size,,4306,2934,,,,1
{},bi-282-1-1,-tu,"pluralizer, evidential",,4307,2935,,,,1
{},wi-282-1-1,čoowéxǰį,just a little,,4308,2936,,,,1
{},wi-282-1-2,coowexjį,"[some, a little]",,4309,2936,,,,1
{},ks-282-1-1,dóba,some,,4310,2937,,,,1
{},pma-282-1-1,*tu-,"[some, a little]",,4311,2938,,,,1
{},pdh-282-1-1,*tópa,"[some, a little]",,4312,2939,,,,1
{},pbo-282-1-1,*tu,"[some, a little]",,4313,2940,,,,1
{},os-282-1-1,dúba,some,,4314,2941,,,,1
{},op-282-1-1,dóba,"[some, a little]",,4315,2942,,,,1
{},ks-283-1-1,ákkida,"soldier, policeman",,4316,2943,,,,1
{},pmv-283-1-1,*a-hkíta,[soldier],,4317,2944,,,,1
{},pdh-283-1-1,*áhkita,[soldier],,4318,2945,,,,1
{},os-283-1-1,áḳida,officer; soldier;,,4319,2946,,,,1
{},la-283-1-1,akíčhita,soldier,,4320,2947,,,,1
{},bi-284-1-1,"tcdo, tcdópi",smooth,,4321,2948,,,,1
{},psi-284-1-1,*šró,[soft (3)],,4322,2949,,,,1
{},ma-284-1-1,šeróroʔš,"it’s mushy, loose",,4323,2950,,,,1
{},la-284-1-1,šlo,soft,,4324,2951,,,,1
{},sv-284-1-1,šdo,soft,,4325,2952,,,,1
{},da-284-1-1,šdo,soft,,4326,2953,,,,1
{},pma-284-1-1,*šro•-,[soft (3)],,4327,2954,,,,1
{},pda-284-1-1,*šro,[soft (3)],,4328,2955,,,,1
{},pmv-285-1-1,*špą,[soft (2)],,4329,2956,,,,1
{},ch-285-1-1,šwą́la,soft,,4330,2957,,,,1
{},qu-285-1-1,špǫ,be wet,,4331,2958,,,,1
{},la-285-1-1,špą,"cooked, burnt or frozen",,4332,2959,,,,1
{},wi-285-1-1,-šąwą,soften,,4333,2960,,,,1
{},wi-285-1-2,-šąwą,mangle with hand to soften,,4334,2960,,,,1
{},wi-285-1-3,"šąwą́, ru-",[soft (2)],,4335,2960,,,,1
{},wi-285-1-4,rušąwą,[soft (2)],,4336,2960,,,,1
{},ks-285-1-1,špą́ye,soak something in water,,4337,2961,,,,1
{},pwc-285-1-1,*šwą́,[soft (2)],,4338,2962,,,,1
{},pdh-285-1-1,*špą́,[soft (2)],,4339,2963,,,,1
{},os-285-1-1,shpoⁿ,"sodden, softened by soaking in water",,4340,2964,,,,1
{},op-285-1-1,ushpoⁿ,[soft (2)],,4341,2965,,,,1
{},qu-286-1-1,dittą́hą,soften by pulling,,4342,2966,,,,1
{},pmv-286-1-1,*tpą́,[soft (1)],,4343,2967,,,,1
{},psi-286-1-1,*tapą́•-he,[soft (1)],,4344,2968,,,,1
{},ma-286-1-1,títipoʔš,it’s soft,,4345,2969,,,,1
{},ma-286-1-2,páxu títip,moose,,4346,2969,,,,1
{},la-286-1-1,paⁿpaⁿ´la,"soft, as a deerskin; tender, like meat",,4347,2970,,,,1
{},la-286-1-2,"kpą́, kpą́la","fine, soft",,4348,2970,,,,1
{},la-286-1-3,kpąyá,tan a skin,,4349,2970,,,,1
{},ch-286-1-1,hdą,rotten (vegetable),,4350,2971,,,,1
{},bi-286-1-1,tpaⁿhį́ⁿ,any soft part of the body,,4351,2972,,,,1
{},da-286-1-1,tpą́,"soft, as dressed leather; or fine, as flour",,4352,2973,,,,1
{},ks-286-1-1,yüttą́ttąhą,soften by working with the hands,,4353,2974,,,,1
{},pch-286-1-1,*tapá• < *tapahe; *tapia < *tapíhe,[soft (1)],,4354,2975,,,,1
{},hi-286-1-1,tapá•,soft,,4355,2976,,,,1
{},hi-286-1-2,apatapa•,moose,,4356,2976,,,,1
{},pdh-286-1-1,*rühtą́hą,[soft (1)],,4357,2977,,,,1
{},cr-286-1-1,sapíi,soft,,4358,2978,,,,1
{},cr-286-1-2,apashpía,moose,,4359,2978,,,,1
{},ks-287-1-1,"xtą́, ba-","spill, push over a container",,4360,2979,,,,1
{},ks-287-1-2,"xtą́, ga-","pour out, throw out dirt",,4361,2979,,,,1
{},pmv-287-1-1,*-xtą́,"[soak, spill (1)]",,4362,2980,,,,1
{},pdh-287-1-1,*-xtą́,"[soak, spill (1)]",,4363,2981,,,,1
{},qu-287-1-1,"xtą́, di-","pull at, pull over, upset",,4364,2982,,,,1
{},qu-287-1-2,"xtą́, ka-","pour out, empty sth.",,4365,2982,,,,1
{},qu-287-1-3,"xtą́, ną-","kick over, spill",,4366,2982,,,,1
{},qu-287-1-4,"xtą́, bi-",rub onto,,4367,2982,,,,1
{},qu-287-1-5,"xtą́xtą, áka-",sprinkle,,4368,2982,,,,1
{},la-287-1-1,"xtą́, ka-","soak up, to soak in, as does grease in wood",,4369,2983,,,,1
{},pmv-288-1-1,*-kų,"[so, thus]",,4370,2984,,,,1
{},ch-288-1-1,-gų́ {in} igún,thus; this/ that way,,4371,2985,,,,1
{},ca-288-1-1,kún,"this one, he, she, it",,4372,2986,,,,1
{},ca-288-1-2,kų-,"this one, he, she, it",,4373,2986,,,,1
{},ca-288-1-3,kų- {in} kúnkĕ,"[so, thus]",,4374,2986,,,,1
{},wi-288-1-1,-gų́ {in} heegų́,"so, thus",,4375,2987,,,,1
{},wi-288-1-2,-gų {in} hegų,any,,4376,2987,,,,1
{},wi-288-1-3,-gų́ {in} higų́,this way,,4377,2987,,,,1
{},wi-288-1-4,-gų {in} higų,"so, thus",,4378,2987,,,,1
{},wi-288-1-5,-gų́ {in} gaagų́,"[so, thus]",,4379,2987,,,,1
{},wi-288-1-6,"-gų {in} gaagų, gaigų","[so, thus]",,4380,2987,,,,1
{},wi-288-1-7,-gų́ {in} žeegų́,"[so, thus]",,4381,2987,,,,1
{},wi-288-1-8,-gų {in} žeegų,"[so, thus]",,4382,2987,,,,1
{},ks-288-1-1,-go {in} égo,"like, as, so",,4383,2988,,,,1
{},ks-288-1-2,-gó {in} hagó,why,,4384,2988,,,,1
{},ks-288-1-3,-gó {in} gagó,enough,,4385,2988,,,,1
{},ks-288-1-4,"-go- {in} šégoną, šégonǫha","enough, just that number",,4386,2988,,,,1
{},psi-288-1-1,*kų,"[so, thus]",,4387,2989,,,,1
{},pwc-288-1-1,*-kų,"[so, thus]",,4388,2990,,,,1
{},pdh-288-1-1,*-kǫ,"[so, thus]",,4389,2991,,,,1
{},os-288-1-1,-kǫ {in} e-goⁿ,verily; very,,4390,2992,,,,1
{},os-288-2-1,-kǫ {in} gá-goⁿ,in this manner,,4391,2992,,,,1
{},os-288-3-1,-kǫ {in} thé-goⁿ,"like this, this kind",,4392,2992,,,,1
{},os-288-4-1,-kǫ {in} shé-goⁿ,that kind or sort,,4393,2992,,,,1
{},op-288-1-1,-gą {in} égą,"so, like that; he’s like that",,4394,2993,,,,1
{},op-288-1-2,-gą {in} X -gą,like X; he’s like X,,4395,2993,,,,1
{},pmv-289-1-1,*pse• (o-hųpe),[snowshoe],,4396,2994,,,,1
{},la-289-1-1,psoháƞpa,[snowshoe],,4397,2995,,,,1
{},wi-289-1-1,sée,snowshoes,,4398,2996,,,,1
{},wi-289-1-2,see,[snowshoe],,4399,2996,,,,1
{},da-289-1-1,pse,snowshoe,,4400,2997,,,,1
{},da-289-1-2,pse-yá-pi,"the water ash, so called because used for making snow-shoes",,4401,2997,,,,1
{},pda-289-1-1,*pse-ohąpa,[snowshoe],,4402,2998,,,,1
{},op-289-1-1,sé hįbe,[snowshoe],,4403,2999,,,,1
{},pmv-290-1-1,*Wa•-(hu)(-re),[snow (3)],,4404,3000,,,,1
{},ch-290-1-1,bá•hu,[snow (3)],,4405,3001,,,,1
{},qu-290-1-1,poíde,[snow (3)],,4406,3002,,,,1
{},of-290-1-1,abahó,hail,,4407,3003,,,,1
{},bi-290-1-1,wahudí,[snow (3)],,4408,3004,,,,1
{},wi-290-1-1,waahúhi,[snow (3)],,4409,3005,,,,1
{},wi-290-1-2,waahuhi,[snow (3)],,4410,3005,,,,1
{},ks-290-1-1,bahǘya,[snow (3)],,4411,3006,,,,1
{},psi-290-1-1,*(wa-)wá•-hu(-re),[snow (3)],,4412,3007,,,,1
{},pwc-290-1-1,*Wá•hu,[snow (3)],,4413,3008,,,,1
{},pdh-290-1-1,*Wa-(hü)-re,[snow (3)],,4414,3009,,,,1
{},pbo-290-1-1,*(a-)Wahú(-ri) (?),[snow (3)],,4415,3010,,,,1
{},os-290-1-1,bahiúthe,snow,,4416,3011,,,,1
{},op-290-1-1,máthe,[snow (3)],,4417,3012,,,,1
{},cr-291-1-1,bíihpi,falling snow,,4418,3013,,,,1
{},pch-291-1-1,*-hpi,[snow (2)],,4419,3014,,,,1
{},hi-291-1-1,wa• + hpi,to snow,,4420,3015,,,,1
{},hi-291-1-2,ma•hpi,[snow (2)],,4421,3015,,,,1
{},ma-291-1-1,kapkéʔ,to snow,,4422,3016,,,,1
{},pma-291-1-1,*-kpe (?),[snow (2)],,4423,3017,,,,1
{},pmv-292-1-1,*Wá•,[snow (1)],,4424,3018,,,,1
{},psi-292-1-1,*(wa-)wá•,[snow (1)],,4425,3019,,,,1
{},ma-292-1-1,wáʔhe,snow,,4426,3020,,,,1
{},la-292-1-1,wá,snow,,4427,3021,,,,1
{},ch-292-1-1,ba,snow,,4428,3022,,,,1
{},of-292-1-1,abahó,hail,,4429,3023,,,,1
{},ca-292-1-1,"wa; waʔwə, wa•ʔ",[snow (1)],,4430,3024,,,,1
{},bi-292-1-1,wahú,[snow (1)],,4431,3025,,,,1
{},wi-292-1-1,wáa,[snow (1)],,4432,3026,,,,1
{},wi-292-1-2,waa,[snow (1)],,4433,3026,,,,1
{},da-292-1-1,wá,snow,,4434,3027,,,,1
{},ks-292-1-1,ba,[snow (1)],,4435,3028,,,,1
{},wo-292-1-1,wawawa,[snow (1)],,4436,3029,,,,1
{},pch-292-1-1,*wá•,[snow (1)],,4437,3030,,,,1
{},hi-292-1-1,wá•,fallen snow,,4438,3031,,,,1
{},hi-292-1-2,má•,[snow (1)],,4439,3031,,,,1
{},pwc-292-1-1,*Wá•,[snow (1)],,4440,3032,,,,1
{},pdh-292-1-1,*Wa,[snow (1)],,4441,3033,,,,1
{},cr-292-1-1,bíi,fallen snow,,4442,3034,,,,1
{},pbo-292-1-1,*(a-)Wahú,[snow (1)],,4443,3035,,,,1
{},os-292-1-1,ba,[snow (1)],,4444,3036,,,,1
{},pda-292-1-1,*wá,[snow (1)],,4445,3037,,,,1
{},op-292-1-1,ma,[snow (1)],,4446,3038,,,,1
{},pmv-293-1-1,*hpa-xrį,[snot],,4447,3039,,,,1
{},ch-293-1-1,páxringe,snot,,4448,3040,,,,1
{},qu-293-1-1,ppaxnį́,[snot],,4449,3041,,,,1
{},la-293-1-1,phaxlí,snot,,4450,3042,,,,1
{},ks-293-1-1,ppaxlį́,snot,,4451,3043,,,,1
{},pch-293-1-1,*-pxíta,[snot],,4452,3044,,,,1
{},hi-293-1-1,ša•kapxíta,algae (lit. frog snot),,4453,3045,,,,1
{},pdh-293-1-1,*hpaxrį́,[snot],,4454,3046,,,,1
{},cr-293-1-1,axpísa,"snot, mucus",,4455,3047,,,,1
{},os-293-1-1,p̣axthíⁿ,mucus from the nose,,4456,3048,,,,1
{},op-293-1-1,paxthiⁿ,[snot],,4457,3049,,,,1
{},ks-294-1-1,ttǫ́i ~ ttǫ́wį,"[snipe (sandpiper, killdeer)]",,4458,3050,,,,1
{},op-294-1-1,ttǫ́į ~ ttǫ́wį,"[snipe (sandpiper, killdeer)]",,4459,3051,,,,1
{},os-294-1-1,ṭoⁿiⁿ´,curlew,,4460,3052,,,,1
{},pdh-294-1-1,*htǫ́(w)į,"[snipe (sandpiper, killdeer)]",,4461,3053,,,,1
{},ch-295-1-1,héʔšį,[sneeze],,4462,3054,,,,1
{},qu-295-1-1,héšį,[sneeze],,4463,3055,,,,1
